name,url,author,rating_value,rating_count,prep_time_min,cook_time_min,total_time_min,servings,category,cuisine,calories,ingredients,instructions,image_url
Concord Grape Pie,https://www.allrecipes.com/recipe/12289/concord-grape-pie-i/,Glenda,4.6,80,60,45,105,"['8', '1 9-inch pie']",Dessert,North American,420,"1 (14.1 ounce) package double-crust pie pastry, thawed | 5 cups Concord grapes | 1.25 cups white sugar | 0.25 cup all-purpose flour | 1 pinch salt | 0.75 teaspoon lemon juice | 1.5 tablespoons unsalted butter, cut into small pieces","Preheat the oven to 400 degrees F (200 degrees C). Place a sheet pan on the lower oven rack. Press one pie pastry into a 9-inch pie pan; set second pastry aside. | Wash and stem grapes; squeeze grape pulp out of the skins into a large saucepan. Place skins into a large bowl and set aside. | Mash a few grapes in the saucepan to release their juices. Place over medium-low heat and bring to a full boil. | Run hot pulp mixture through a food mill to remove seeds. Add pulp to the skins in the large bowl and stir in lemon juice. | Mix sugar, flour, and salt together in a separate bowl; stir into grape mixture and pour into the bottom pastry. Dot with butter and cover with second pastry. Flute the edges and cut little slits in the top crust for steam to escape. | Place pie on the baking sheet in the preheated oven; bake until crust is golden brown and juice begins to bubble through the slits in the top crust, 45 to 50 minutes. Allow to cool completely before serving.",https://www.allrecipes.com/thmb/62aoG9GOyALWR2OTka-mPnkvKBw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1694147673810IMG_3400_Concord-Grape-Pie-4x3-recipeID-12289-e0dd5598994c47b29731d5f4dc4e4164.jpg
Slow Cooker Pulled Pork,https://www.allrecipes.com/recipe/141678/slow-cooker-pulled-pork/,Livie's Mommy,4.7,5070,10,360,370,8,Dinner,American,335,"1 (2 pound) pork tenderloin | 1 (12 fluid ounce) can or bottle root beer | 1 (18 ounce) bottle your favorite barbecue sauce | 8 hamburger buns, split and lightly toasted","Gather the ingredients. | Place pork tenderloin in a slow cooker; pour root beer over top. | Cover and cook on Low until pork shreds easily, 6 to 7 hours. Note: the actual length of time may vary according to the individual slow cooker. | Drain well. Stir in barbecue sauce. | Pile pulled pork onto hamburger buns. | Serve and enjoy!",https://www.allrecipes.com/thmb/1Me_7JTiF4gaMiUJJHACUmi0Uq4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-141678-slow-cooker-pulled-pork-VAT-4x3-2-57874c5fb4724852a1ef757a29732aa9.jpg
Puerto Rican Breakfast Custard,https://www.allrecipes.com/recipe/155379/puerto-rican-breakfast-custard/,Lu,4.7,104,5,25,30,2,Breakfast,Puerto Rican,250,3 tablespoons white sugar | 2 tablespoons cornstarch | 0.125 teaspoon salt | 0.125 teaspoon ground cinnamon | 2 cups whole milk,"Whisk sugar, cornstarch, salt, and cinnamon together in a large saucepan; stir in milk until evenly blended. Heat over medium-high heat; cook and whisk until reaches a thick consistency, 25 to 30 minutes, making sure to continually whisk while custard cooks to avoid burning or clumping. The custard will thicken as it cools. Divide between bowls.",https://www.allrecipes.com/thmb/37bpsabnfvpfNqTy7tkcJghn-aI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1010841-c6099ff9d8534fa8aff17337562c7f21.jpg
Slow Cooker Chicken Stroganoff,https://www.allrecipes.com/recipe/17227/slow-cooker-chicken-stroganoff/,Judi Johnston,4.4,4303,10,330,340,4,Dinner,American,456,"4 skinless, boneless chicken breast halves - cubed | 0.125 cup margarine | 1 (.7 ounce) package dry Italian-style salad dressing mix | 1 (10.5 ounce) can condensed cream of chicken soup | 1 (8 ounce) package cream cheese","Gather all ingredients. | Put chicken, butter, and dressing mix in a slow cooker. | Mix together well and cook on Low for 5 to 6 hours. | Add condensed soup and cream cheese. Mix together and cook on High until heated through and warm, about 30 minutes. | Serve and enjoy!",https://www.allrecipes.com/thmb/dPAs0pOqc0AqeojYd8Ggmx3ngoQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/17227-slow-cooker-chicken-stroganoff-recipe-VAT-014-Beauty-4x3-b0c00b5de6de4d838c257e73c552cebc.jpg
Easy Apple Crisp with Oat Topping,https://www.allrecipes.com/recipe/229088/apple-crisp-with-oat-topping/,realnakedchef,4.8,1126,20,40,60,"['4', '1 (9-inch square) crisp']",Dessert,American,618,"6 apples - peeled, cored, and sliced | 2 tablespoons white sugar | 1.5 teaspoons ground cinnamon, divided | 1 cup brown sugar | 0.75 cup old-fashioned oats | 0.75 cup all-purpose flour | 0.5 cup cold butter","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). | Toss apples with white sugar and ½ teaspoon cinnamon in a medium bowl to coat; pour into a 9-inch square baking dish. | Mix brown sugar, oats, flour, and 1 teaspoon cinnamon in a separate bowl. | Cut in cold butter with two knives or a pastry blender until the mixture resembles coarse crumbs. | Spread over apples and pat down gently until even. | Bake in the preheated oven until golden brown and sides are bubbling, about 40 minutes. | Serve and enjoy!",https://www.allrecipes.com/thmb/2Do5oE1370UT5lT1tMw7dc-0UcU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-229088-Apple-Crisp-with-oat-topping-beauty-4x3-d58c8b0540664d17b3e5ff8e6eb1e122.jpg
Buffalo Chicken and Roasted Potato Casserole,https://www.allrecipes.com/recipe/229964/buffalo-chicken-and-roasted-potato-casserole/,mammak,4.6,374,20,60,80,10,Dinner,U.S.,501,"cooking spray | 6 tablespoons hot pepper sauce | 0.33333334326744 cup olive oil | 2 tablespoons garlic powder | 1 tablespoon freshly ground black pepper | 1 tablespoon paprika | 1.5 teaspoons salt | 8 potatoes, cut into 1/2-inch cubes | 2 pounds skinless, boneless chicken breast halves, cut into 1/2-inch cubes | 2 cups shredded Mexican cheese blend (such as Great Value Fiesta Blend®) | 1 cup crumbled cooked bacon | 1 cup diced green onions","Gather all ingredients. | Preheat the oven to 500 degrees F (260 degrees C). Spray a 9x13-inch baking dish with cooking spray. | Heat hot pepper sauce, olive oil, garlic powder, black pepper, paprika, and salt in a large skillet over low heat, stirring until thoroughly combined. Turn off heat. | Toss potatoes in batches with the hot pepper sauce mixture to coat and use a slotted spoon to transfer potatoes to the prepared baking dish. Leave remaining sauce in the skillet. | Mix chicken into remaining sauce and allow to marinate while potatoes roast. | Bake potatoes until tender inside and crisp and brown outside, 45 to 50 minutes, stirring every 10 to 15 minutes. | Reduce oven heat to 400 degrees F (205 degrees C). | Spread chicken cubes over roasted potatoes. | Sprinkle shredded cheese, cooked bacon, and green onions over chicken. Return to the oven. | Bake in oven until chicken is cooked through and the cheese topping is bubbling, about 15 minutes.",https://www.allrecipes.com/thmb/zffjLIp1JBNaNl4JDvPeVvhOPm0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/229964-Buffalo-Chicken-and-Roasted-Potato-Casserole-DDMFS-4x3-1cb5e7777f70413698dec581007be735.jpg
Eggplant Parmesan Casserole,https://www.allrecipes.com/recipe/235794/eggplant-parmesan-casserole/,John Mitzewich,4.6,190,15,65,80,"['6', '1 8x8-inch dish']",Dinner,Italian Inspired,397,"2 large eggplants | 2 tablespoons olive oil | 1 pinch salt, or as needed | 1 tablespoon olive oil | 2 cloves garlic, sliced | 0.5 teaspoon red pepper flakes | 3 cups prepared marinara sauce | 0.5 cup water, plus more as needed | 0.75 cup ricotta cheese | 0.5 cup grated Parmesan cheese | 0.25 cup shredded pepperjack cheese | salt and freshly ground black pepper to taste | 0.75 cup dry bread crumbs | 0.5 cup grated Parmesan cheese | 2 tablespoons olive oil","Preheat oven to 375 degrees F (190 degrees C). | Cut 5 crosswise slices from center area of each eggplant, about 1/2-inch thick, to total 10 slices. Peel and dice remaining pieces of eggplant. | Heat 2 tablespoons olive oil in a large skillet over medium-high heat until oil is very hot. Sprinkle eggplant slices lightly with a pinch of salt and cook in hot skillet in batches until slightly softened, about 3 minutes per side. Set eggplant slices aside on paper towels. | Heat 1 tablespoon olive oil in skillet and cook garlic for about 10 seconds; add diced eggplant and season with a pinch of salt and red pepper flakes. Saute until eggplant is softened, about 5 minutes. Pour in marinara sauce and water. Turn heat to medium-low and cook until eggplant is tender, about 15 minutes; stir occasionally. If sauce gets too thick, add a little more water. | Combine ricotta cheese, 1/2 cup Parmesan cheese, pepperjack cheese, a pinch of salt, and a pinch black pepper in a bowl until thoroughly combined. Spread about 2 tablespoons cheese mixture over each eggplant slice. Fold eggplant slices in half to enclose the cheese mixture. | Spread about half the sauce into an 8x8-inch baking dish. Lay folded eggplant slices in a single layer into the dish. Spread remaining sauce over eggplant slices. | Combine bread crumbs, 1/2 cup Parmesan cheese, and 2 tablespoons olive oil in a bowl; mix thoroughly. Spread crumb mixture over eggplant casserole. | Bake in the preheated oven until casserole is bubbling and crumbs are browned, 35 to 40 minutes.",https://www.allrecipes.com/thmb/QBKv11zg65E45pz7IHzirydACSw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5629389-571087fb936240eb8ddbb99cc0e2346e.jpg
Slow Cooker Broccoli Beef,https://www.allrecipes.com/recipe/238393/slow-cooker-broccoli-beef/,Debbie Amador,4.6,314,15,390,405,4,Dinner,Asian Inspired,706,"1 beef bouillon cube | 1 cup warm water | 0.5 cup soy sauce | 0.33333334326744 cup brown sugar | 2 cloves garlic, minced | 1 tablespoon sesame oil | 1.5 pounds beef sirloin, cut into 1-inch strips | 2 tablespoons cornstarch | 2 pounds broccoli florets, or to taste | 2 cups cooked jasmine rice | 1 tablespoon sesame seeds, for garnish","Gather the ingredients. | Crumble beef bouillon cube into warm water in a bowl and stir to dissolve. Add soy sauce, brown sugar, garlic, and sesame oil and stir to dissolve sugar. | Place beef strips into a slow cooker crock. Pour sauce mixture over beef. | Cover, and cook until beef is tender enough to cut with a spoon, on Low for 6 to 8 hours or High for 4 hours. | Spoon 2 tablespoons liquid from the slow cooker into a bowl. Whisk cornstarch into the liquid and stir the cornstarch mixture into the liquid in the slow cooker until evenly combined. | Cook on High until the sauce thickens, about 30 minutes. | Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Cook broccoli in covered steamer until tender, 2 to 6 minutes; add to sauce in slow cooker and stir to coat. | Serve beef and broccoli with sauce over portions of cooked jasmine rice and garnish with sesame seeds.",https://www.allrecipes.com/thmb/b1I2wenuruZhZ23q6QFo9ur3gXs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/238393-slow-cooker-broccoli-beef-DDMFS-step08-ce337a21e7304c1ead0cab1a68fb5eb3.jpg
Slow Cooker Cowboy Beans,https://www.allrecipes.com/recipe/242080/slow-cooker-cowboy-beans/,Heather,4.7,134,10,190,200,8,Side Dish,American,471,"1 pound ground beef | 0.5 pound bacon, chopped | 2 onions, chopped | 1 (28 ounce) can baked beans with pork | 1 (15 ounce) can kidney beans, rinsed and drained | 1 (15 ounce) can lima beans, rinsed and drained | 1 cup ketchup | 1 cup brown sugar | 1 teaspoon prepared mustard","Gather all ingredients. | Heat a large skillet over medium-high heat. Add ground beef and bacon; cook and stir until beef is browned and crumbly, 7 to 10 minutes. | Transfer ground beef and bacon to a slow cooker; stir in onions, baked beans with pork, kidney beans, lima beans, ketchup, brown sugar, and mustard. | Cover the slow cooker. Cook on Low until thickened and bubbling, at least 3 hours.",https://www.allrecipes.com/thmb/sfglf1aKzGBHd5QgOJMlxkpx4EA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-242080-slow-cooker-cowboy-beans-2x3-11-9d07e9a88b9f42679ef85dc790432279.jpg
Monkey Bread from Scratch,https://www.allrecipes.com/recipe/272308/monkey-bread-from-scratch/,Dianashh,4.8,59,25,35,150,"['10', '1 10-inch bundt pan']",Bread,American,427,"1 teaspoon vegetable oil, or as needed | 0.25 cup warm water | 2.5 teaspoons active dry yeast | 1 teaspoon white sugar | 3.5 cups all-purpose flour | 0.75 cup milk, warmed | 1 large egg | 3 tablespoons white sugar | 2 tablespoons melted butter | 1 teaspoon salt | 0.5 teaspoon vanilla extract | 1.5 cups brown sugar | 1.5 teaspoons ground cinnamon | 0.5 cup butter, melted","Lightly grease a fluted tube pan (such as Bundt) with vegetable oil; set aside. | Make dough: Combine warm water, yeast, and 1 teaspoon sugar in a large bowl. Let stand until bubbly and foamy, about 5 minutes. | Stir in 1 cup flour, warm milk, egg, 3 tablespoons sugar, butter, salt, and vanilla extract until combined. Add remaining 2 1/2 cups flour. Mix and knead until dough comes together in a ball. Cover with plastic wrap and let rise in a warm place for 30 minutes. | Turn dough out onto a lightly floured surface and punch down gently to deflate. Divide dough into small or medium balls. | Make coating: Mix together brown sugar and cinnamon in a small bowl. Dip each dough ball in melted butter, remove with a fork, then roll in cinnamon sugar mixture until well coated. | Arrange coated dough balls in the prepared pan. Cover with plastic wrap or a damp cloth and let rise until almost doubled in size, about 45 minutes. | Preheat the oven to 350 degrees F (175 degrees C). | Bake in the preheated oven until golden brown, about 35 minutes. Invert onto a large plate; cool for 10 minutes before serving.",https://www.allrecipes.com/thmb/bT_G3Lvap8jXf8fj6REbuTCDM9I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/272308-monkey-bread-from-scratch-VAT-Beauty-4x3-56c00b494d6f4d37bc48eef9a79fda0b.jpg
